식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.4011976047904191,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.5329341317365269,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.5329341317365269,0.0,1.0,1.0,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.5329341317365269,0.0,1.0,1.0,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.467065868263473,0.0,1.0,1.0,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.4491017964071856,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,0.0,중식,0.05906879777623349,0.07964601769911504,0.44311377245508976,0.0,1.0,1.0,3,0,0
4,전라북도,전주시덕진구,1.0,0.20000000000000007,0.0,0.0,0.0,중식,0.038220986796386386,0.07964601769911504,0.688622754491018,0.0,1.0,0.7000000000000001,0,0,0
4,전라북도,전주시덕진구,1.0,0.20000000000000007,0.0,0.0,0.0,중식,0.038220986796386386,0.07964601769911504,0.7844311377245509,0.0,1.0,0.8,0,0,0
4,전라북도,전주시덕진구,1.0,0.20000000000000007,0.0,0.0,0.0,중식,0.038220986796386386,0.07964601769911504,0.8622754491017963,0.0,1.0,0.9,3,0,0
1,전라북도,전주시완산구,1.0,0.4,0.0,0.0,1.0,한식,0.5135510771369006,0.39823008849557523,0.33532934131736525,0.0,1.0,0.8,0,0,0
1,전라북도,전주시완산구,1.0,0.4,0.0,0.0,1.0,한식,0.5135510771369006,0.39823008849557523,0.3652694610778443,0.0,1.0,0.9,3,0,0
1,전라북도,전주시완산구,1.0,0.4,0.0,0.0,1.0,한식,0.5135510771369006,0.39823008849557523,0.41916167664670656,0.0,1.0,0.2,2,0,0
1,전라북도,전주시완산구,1.0,0.4,0.0,0.0,1.0,한식,0.5135510771369006,0.39823008849557523,0.5748502994011976,0.0,1.0,0.4,1,0,0
1,전라북도,전주시완산구,1.0,0.4,0.0,0.0,1.0,한식,0.5135510771369006,0.39823008849557523,0.49700598802395207,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.7544910179640718,0.0,1.0,0.2,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.7544910179640718,0.0,1.0,0.2,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.7485029940119761,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.7485029940119761,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.6467065868263473,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.6467065868263473,0.0,1.0,0.0,2,0,0
